sim_id,timestamp,L1I_size,L1I_assoc,L1D_size,L1D_assoc,L2_size,L2_assoc,L3_size,L3_assoc,load_queue,store_queue,num_fu_read,num_fu_write,ipc,cpi,energy,edp,runtime_power,leakage_power,total_power,sim_seconds,sim_ticks
79,2025-10-29T16:24:27.908223,64kB,4,64kB,2,256kB,8,2MB,16,72,64,3,1,0.956139,1.045873,2.212345,2.3138314522,1.574550,0.540759,2.115309,0.118724,118724321744
80,2025-10-29T16:24:38.155135,64kB,4,128kB,2,128kB,8,2MB,16,72,80,2,1,0.954779,1.047363,2.259214,2.3662175288,1.618770,0.538280,2.157050,0.118893,118893432644
81,2025-10-29T16:40:53.792860,64kB,4,64kB,2,256kB,8,2MB,16,72,72,3,1,0.956100,1.045916,2.214413,2.3160903588,1.576400,0.540800,2.117200,0.118729,118729144100
82,2025-10-29T16:40:54.983419,64kB,4,64kB,2,512kB,8,2MB,16,48,80,3,1,0.957699,1.044169,2.232801,2.3314214511,1.576940,0.561412,2.138352,0.118531,118530871060
84,2025-10-29T16:41:04.948782,64kB,4,128kB,2,128kB,8,2MB,16,72,80,4,1,0.954779,1.047363,2.259214,2.3662175288,1.618770,0.538280,2.157050,0.118893,118893432644
83,2025-10-29T16:41:08.286040,64kB,4,128kB,4,1MB,8,2MB,16,64,72,2,1,0.958378,1.043430,2.394445,2.4984361905,1.686290,0.608493,2.294783,0.118447,118446991768
85,2025-10-29T16:41:15.797126,64kB,4,64kB,4,256kB,8,2MB,16,72,72,4,1,0.956459,1.045523,2.267262,2.3704741320,1.626740,0.541803,2.168543,0.118685,118684561940
87,2025-10-29T16:57:44.849384,128kB,4,64kB,4,128kB,8,2MB,16,64,64,2,1,0.956898,1.045044,2.261872,2.3637561101,1.628540,0.535840,2.164380,0.118630,118630189888
86,2025-10-29T16:57:49.202043,64kB,4,128kB,2,256kB,8,2MB,16,72,72,3,1,0.956902,1.045039,2.265947,2.3680025358,1.619500,0.548789,2.168289,0.118630,118629554428
88,2025-10-29T16:57:52.967421,64kB,4,128kB,2,256kB,8,2MB,16,72,72,3,1,0.956902,1.045039,2.265947,2.3680025358,1.619500,0.548789,2.168289,0.118630,118629554428
